Country in Live Alumni,Country in Raisers Edge,
Afghanistan,Afghanistan
Angola,Angola
Antarctica,Antarctica
Argentina,Argentina
Australia,Australia
Austria,Austria
Bahrain,Bahrain
Bangladesh,Bangladesh
Belgium,Belgium
Bhutan,Bhutan
Brazil,Brazil
Brunei,Brunei
Burkina Faso,Burkina Faso
Canada,Canada
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Czech Republic,Czech Republic
Czechia,Czech Republic
Denmark,Denmark
Egypt,Egypt
England,England
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Guyana,Guyana
Hungary,Hungary
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kingdom of Bahrain,Bahrain
Kuwait,Kuwait
Lebanon,Lebanon
Libya,Libya
Liechtenstein,Liechtenstein
Luxembourg,Luxembourg
Malawi,Malawi
Malaysia,Malaysia
Mali,Mali
Mauritius,Mauritius
Mexico,Mexico
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Nation of Brunei,Brunei
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palestinian Territory,Israel
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Republic of Botswana,Botswana
Republic of Burundi,Burundi
Republic of Fiji,Fiji
Republic of Mozambique,Mozambique
Republic of Serbia,Serbia
Republic of the Maldives,Maldives
Romania,Romania
Russia,Russia
Saudi Arabia,Saudi Arabia
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South Korea,South Korea
South Sudan,Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Sweden,Sweden
Switzerland,Switzerland
Taiwan,Taiwan
Tanzania,Tanzania
Thailand,Thailand
The Gambia,Gambia
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
USA,United States
Venezuela,Venezuela
Vietnam,Vietnam
Yemen,Yemen
Zambia,Zambia
